,Country,latitude,longitude,New_cases
0,Afghanistan,33.93911,67.709953,56192
1,Albania,41.153332,20.168331,121847
2,Algeria,28.033886,1.6596259999999998,116349
3,American Samoa,-14.270972,-170.132217,0
4,Andorra,42.546245,1.6015540000000001,11591
5,Angola,-11.202691999999999,17.873887,21774
6,Anguilla,18.220554,-63.068615,22
7,Antigua and Barbuda,17.060816,-61.796428000000006,1072
8,Argentina,-38.416097,-63.616671999999994,2252172
9,Armenia,40.069099,45.038189,186184
10,Aruba,12.52111,-69.968338,8800
11,Australia,-25.274398,133.775136,29211
12,Austria,47.516231,14.550072,516683
13,Azerbaijan,40.143105,47.576927000000005,248307
14,Bahamas,25.03428,-77.39628,8935
15,Bahrain,25.930414000000003,50.637772,137550
16,Bangladesh,23.684994,90.35633100000001,577241
17,Barbados,13.193887,-59.543198,3559
18,Belarus,53.709807,27.953389,312474
19,Belgium,50.503887,4.469936,842775
20,Belize,17.189877,-88.49765,12407
21,Benin,9.30769,2.315834,7100
22,Bermuda,32.321384,-64.75737,830
23,Bhutan,27.514162,90.433601,869
24,Bolivia,-16.290154,-63.588653,265207
25,Bosnia and Herzegovina,43.915886,17.679076000000002,156346
26,Botswana,-22.328474,24.684866,37559
27,Brazil,-14.235004,-51.92528,12047526
28,British Virgin Islands,18.420695000000002,-64.63996800000001,154
29,Bulgaria,42.733883,25.48583,312741
30,Burkina Faso,12.238333,-1.561593,12572
31,Burundi,-3.3730559999999996,29.918885999999997,2657
32,Cambodia,12.565679,104.990963,1817
33,Cameroon,7.369722,12.354722,38988
34,Canada,56.130366,-106.34677099999999,938719
35,Cayman Islands,19.513469,-80.566956,482
36,Central African Republic,6.611111,20.939444,5088
37,Chad,15.454166,18.732207,4440
38,Chile,-35.675146999999996,-71.542969,942958
39,China,35.86166,104.195397,102589
40,Colombia,4.570868,-74.297333,2342278
41,Comoros,-11.875001,43.872219,3681
42,Cook Islands,-21.236735999999997,-159.777671,0
43,Costa Rica,9.748917,-83.753428,211903
44,Croatia,45.1,15.2,260636
45,Cuba,21.521757,-77.78116700000001,68250
46,Cyprus,35.126413,33.429859,42993
47,Denmark,56.26392,9.501785,227031
48,Djibouti,11.825138,42.590275,6771
49,Dominica,15.414999,-61.370976,160
50,Dominican Republic,18.735692999999998,-70.162651,250177
51,Ecuador,-1.8312389999999998,-78.183406,313570
52,Egypt,26.820553000000004,30.802497999999996,196709
53,El Salvador,13.794185,-88.89653,63344
54,Equatorial Guinea,1.6508009999999997,10.267895,6780
55,Eritrea,15.179383999999999,39.782334000000006,3163
56,Estonia,58.595271999999994,25.013607,99008
57,Ethiopia,9.145,40.489672999999996,190594
58,Faroe Islands,61.892635,-6.9118059999999995,661
59,Fiji,-16.578193,179.414413,67
60,Finland,61.92411,25.748151,72713
61,France,46.227638,2.213749,4240732
62,French Guiana,3.9338889999999997,-53.125781999999994,16764
63,French Polynesia,-17.679742,-149.40684299999998,18595
64,Gabon,-0.803689,11.609444,18078
65,Gambia,13.443182,-15.310139000000001,5303
66,Georgia,42.315407,43.356891999999995,278628
67,Germany,51.165690999999995,10.451526,2690523
68,Ghana,7.946527000000001,-1.0231940000000002,89893
69,Gibraltar,36.137741,-5.345374,4270
70,Greece,39.074208,21.824312,242347
71,Greenland,71.706936,-42.604303,31
72,Grenada,12.262775999999999,-61.604170999999994,154
73,Guadeloupe,16.995971,-62.067641,11095
74,Guam,13.444304,144.793731,7576
75,Guatemala,15.783470999999999,-90.23075899999999,189067
76,Guernsey,49.465691,-2.5852779999999997,821
77,Guinea,9.945587,-9.696645,18945
78,Guinea-Bissau,11.803749,-15.180413,3586
79,Guyana,4.860416000000001,-58.93018000000001,9668
80,Haiti,18.971187,-72.28521500000001,12732
81,Honduras,15.199998999999998,-86.241905,183280
82,Hungary,47.162494,19.503304,593710
83,Iceland,64.96305100000001,-19.020835,6122
84,India,20.593684,78.96288,11734058
85,Indonesia,-0.789275,113.921327,1471225
86,Iran,32.427908,53.68804599999999,1815712
87,Iraq,33.223191,43.679291,803041
88,Ireland,53.41291,-8.243889999999999,231484
